pdf_filename,pdf_path,size_kb,best_guess_score,best_guess_paper_id,best_guess_title,best_guess_doi,best_guess_keyword,reason
046.pdf,/Users/baiyixin/Downloads/pdf_386/046.pdf,192,0.037,53adec5acee6,Mapping design knowledge: 36 years of Design Studies,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
0492d8de99ac74482857fd3d7056f0e59cd2.pdf,/Users/baiyixin/Downloads/pdf_386/0492d8de99ac74482857fd3d7056f0e59cd2.pdf,644,0.189,878cf959ac53,Designerly Research Methods and Researcherly Design Methods,,Design methods,"hash-like filename, cannot infer paper from filename"
1-4020-4617-0 (1).pdf,/Users/baiyixin/Downloads/pdf_386/1-4020-4617-0 (1).pdf,10844,0.190,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-4020-4617-0.pdf,/Users/baiyixin/Downloads/pdf_386/1-4020-4617-0.pdf,10844,0.158,7a42dd52852e,What's in design rationale?,,Design rationale,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0142694X21000879-am.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0142694X21000879-am.pdf,404,0.241,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0142694X23000455-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0142694X23000455-main.pdf,1630,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0169023X24000570-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0169023X24000570-main.pdf,2325,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S221282712100514X-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S221282712100514X-main.pdf,1088,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S2405872617300989-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S2405872617300989-main.pdf,464,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1171.pdf,/Users/baiyixin/Downloads/pdf_386/1171.pdf,181,0.019,f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",,Design Rules,filename/hash/title not recognized by current DOI/title matcher
1409.2378v1.pdf,/Users/baiyixin/Downloads/pdf_386/1409.2378v1.pdf,622,0.129,554b27236356,Technique Innovation,,Design theory,filename/hash/title not recognized by current DOI/title matcher
1cfdaec9-32b8-4a70-9c4b-cfc8ddfd59b8.pdf,/Users/baiyixin/Downloads/pdf_386/1cfdaec9-32b8-4a70-9c4b-cfc8ddfd59b8.pdf,269,0.286,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
20181207043440934.pdf,/Users/baiyixin/Downloads/pdf_386/20181207043440934.pdf,2290,0.051,363ca9685308,Cognitive Architecture and Instructional Design: 20 Years Later,,Design theory,"hash-like filename, cannot infer paper from filename"
2023HICSS-AFrameworkofDesignMethodCorroboration.pdf,/Users/baiyixin/Downloads/pdf_386/2023HICSS-AFrameworkofDesignMethodCorroboration.pdf,689,0.831,b5d968168f35,A Framework of Design Method Corroboration,,Design methods,possible title match; filename needs manual rename or matcher improvement
25218-Article Text-49360-1-10-20250208.pdf,/Users/baiyixin/Downloads/pdf_386/25218-Article Text-49360-1-10-20250208.pdf,930,0.280,7f7baeb83bac,A theoretical framework on embodiment in digital design,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
3-540-44411-4.pdf,/Users/baiyixin/Downloads/pdf_386/3-540-44411-4.pdf,7984,0.158,7a42dd52852e,What's in design rationale?,,Design rationale,filename/hash/title not recognized by current DOI/title matcher
3-540-46102-7.pdf,/Users/baiyixin/Downloads/pdf_386/3-540-46102-7.pdf,8103,0.158,7a42dd52852e,What's in design rationale?,,Design rationale,filename/hash/title not recognized by current DOI/title matcher
5.+26206+-+Skye.pdf,/Users/baiyixin/Downloads/pdf_386/5.+26206+-+Skye.pdf,809,0.233,f16832406221,A Framework for Systemic Design,,Design methods,filename/hash/title not recognized by current DOI/title matcher
6d2d378db2e10084fb89abb60e7aea2ed8d2.pdf,/Users/baiyixin/Downloads/pdf_386/6d2d378db2e10084fb89abb60e7aea2ed8d2.pdf,1980,0.220,77ba97562fe7,Teachers’ Collaborative Pattern Language Design,,Design Patterns,"hash-like filename, cannot infer paper from filename"
978-1-84800-239-5.pdf,/Users/baiyixin/Downloads/pdf_386/978-1-84800-239-5.pdf,19994,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-1-964867-01-4_13.pdf,/Users/baiyixin/Downloads/pdf_386/978-1-964867-01-4_13.pdf,530,0.200,7b15d81000db,The anatomy of a design theory,10.17705/1jais.00129,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
978-3-031-79209-0.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-031-79209-0.pdf,931,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-031-79215-1 (1).pdf,/Users/baiyixin/Downloads/pdf_386/978-3-031-79215-1 (1).pdf,1775,0.204,7b15d81000db,The anatomy of a design theory,10.17705/1jais.00129,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
978-3-031-79215-1.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-031-79215-1.pdf,1775,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-540-30998-7.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-540-30998-7.pdf,10907,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-540-73105-4.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-540-73105-4.pdf,79730,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-540-78431-9.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-540-78431-9.pdf,18200,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-540-85170-7.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-540-85170-7.pdf,19415,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-642-12113-5 (1).pdf,/Users/baiyixin/Downloads/pdf_386/978-3-642-12113-5 (1).pdf,3808,0.204,7b15d81000db,The anatomy of a design theory,10.17705/1jais.00129,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
978-3-642-12113-5.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-642-12113-5.pdf,3808,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-642-13335-0.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-642-13335-0.pdf,10037,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-642-16438-5.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-642-16438-5.pdf,14616,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
978-3-642-20633-7.pdf,/Users/baiyixin/Downloads/pdf_386/978-3-642-20633-7.pdf,8613,0.182,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
9c50199bb8d624d7a6f7362ebe3e183ca248.pdf,/Users/baiyixin/Downloads/pdf_386/9c50199bb8d624d7a6f7362ebe3e183ca248.pdf,245,0.200,bdf1addf5a10,Contestable AI by Design: Towards a Framework,10.1007/s11023-022-09611-z,Design knowledge,"hash-like filename, cannot infer paper from filename"
BFb0052181.pdf,/Users/baiyixin/Downloads/pdf_386/BFb0052181.pdf,775,0.120,b9f64070ed9a,“Modeling-by-Patterns” of Web applications,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
catalogue.pdf,/Users/baiyixin/Downloads/pdf_386/catalogue.pdf,72,0.357,56da61efca6b,Transitional Theory,,Design theory,filename/hash/title not recognized by current DOI/title matcher
ch0414.pdf,/Users/baiyixin/Downloads/pdf_386/ch0414.pdf,260,0.190,1217bfc6316e,Design research,,Design Procedures,filename/hash/title not recognized by current DOI/title matcher
design.pdf,/Users/baiyixin/Downloads/pdf_386/design.pdf,1359,0.571,1217bfc6316e,Design research,,Design Procedures,filename/hash/title not recognized by current DOI/title matcher
download.pdf,/Users/baiyixin/Downloads/pdf_386/download.pdf,177,0.303,37f353dbe230,Managing design knowledge,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
ds46_121.pdf,/Users/baiyixin/Downloads/pdf_386/ds46_121.pdf,263,0.261,1217bfc6316e,Design research,,Design Procedures,filename/hash/title not recognized by current DOI/title matcher
FNAS-JSI-59-7-2-2026-9-18.pdf,/Users/baiyixin/Downloads/pdf_386/FNAS-JSI-59-7-2-2026-9-18.pdf,379,0.278,2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
Fujipress_IJAT-14-5-9.pdf,/Users/baiyixin/Downloads/pdf_386/Fujipress_IJAT-14-5-9.pdf,1733,0.375,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
Grayetal_Mudd2015_ConceptualRepertoire.pdf,/Users/baiyixin/Downloads/pdf_386/Grayetal_Mudd2015_ConceptualRepertoire.pdf,294,0.456,82f49b5a1905,SOLUTION REPERTOIRE,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
ijgi-02-01015.pdf,/Users/baiyixin/Downloads/pdf_386/ijgi-02-01015.pdf,506,0.233,425cad2aba7c,Design Guidelines and Examples,,Design Guidelines,filename/hash/title not recognized by current DOI/title matcher
information-12-00367-v2.pdf,/Users/baiyixin/Downloads/pdf_386/information-12-00367-v2.pdf,876,0.407,83d1ebe7d6c0,Design Theory in Information Systems,,Design theory,filename/hash/title not recognized by current DOI/title matcher
information-17-00443.pdf,/Users/baiyixin/Downloads/pdf_386/information-17-00443.pdf,1914,0.429,83d1ebe7d6c0,Design Theory in Information Systems,,Design theory,filename/hash/title not recognized by current DOI/title matcher
main.pdf,/Users/baiyixin/Downloads/pdf_386/main.pdf,1608,0.375,b458715f3f4e,AntiPatterns,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
SanfilippoEtAlAIDE2015.pdf,/Users/baiyixin/Downloads/pdf_386/SanfilippoEtAlAIDE2015.pdf,335,0.390,56da61efca6b,Transitional Theory,,Design theory,filename/hash/title not recognized by current DOI/title matcher
showcase-3.pdf,/Users/baiyixin/Downloads/pdf_386/showcase-3.pdf,1960,0.280,2faef10b819d,A design theory for software engineering,,Design theory,filename/hash/title not recognized by current DOI/title matcher
Solution Space for Prescriptive Design Knowledge.pdf,/Users/baiyixin/Downloads/pdf_386/Solution Space for Prescriptive Design Knowledge.pdf,645,0.774,0b7e6111aa14,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,,Design knowledge,possible title match; filename needs manual rename or matcher improvement
What_is_design_knowledge_from_the_viewpoint_of_CPM.pdf,/Users/baiyixin/Downloads/pdf_386/What_is_design_knowledge_from_the_viewpoint_of_CPM.pdf,226,0.962,2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,,Design knowledge,possible title match; filename needs manual rename or matcher improvement
